PRO_COM_T,COD_REG,COMUNE,Abitanti
002158,1,Vercelli,46558
085004,19,Caltanissetta,61331
055032,10,Terni,110530
003106,1,Novara,103985
001272,1,Torino,870952
006003,1,Alessandria,93634
007003,2,Aosta,34052
010025,7,Genova,574090
013075,3,Como,85915
004078,1,Cuneo,56203
020030,3,Mantova,49440
026086,5,Treviso,85760
005005,1,Asti,75528
017029,3,Brescia,199579
014061,3,Sondrio,21457
012133,3,Varese,80645
008031,7,Imperia,42614
016024,3,Bergamo,121781
015146,3,Milano,1396059
011015,7,La Spezia,93288
009056,7,Savona,59933
018110,3,Pavia,73334
021008,4,Bolzano,107407
031007,6,Gorizia,34034
029041,5,Rovigo,51049
032006,6,Trieste,203234
027042,5,Venezia,259150
019036,3,Cremona,72672
036023,8,Modena,186830
034027,8,Parma,198292
030129,6,Udine,99051
022205,4,Trento,118902
024116,5,Vicenza,111764
037006,8,Bologna,390625
025006,5,Belluno,35872
035033,8,Reggio nell'Emilia,172124
033032,8,Piacenza,104315
028060,5,Padova,212395
058091,12,Roma,2837332
052032,9,Siena,53922
054039,10,Perugia,166969
057059,12,Rieti,46750
053011,9,Grosseto,82378
059011,12,Latina,129133
039014,8,Ravenna,158058
045010,9,Massa,68514
049009,9,Livorno,157024
040012,8,Forlì,118000
046017,9,Lucca,90055
050026,9,Pisa,91393
043023,11,Macerata,41163
038008,8,Ferrara,132195
023091,5,Verona,259608
056059,12,Viterbo,67384
072006,16,Bari,322316
071024,16,Foggia,149904
068028,13,Pescara,119800
073027,16,Taranto,195227
074001,16,Brindisi,85881
069022,13,Chieti,50285
062008,15,Benevento,58794
060038,12,Frosinone,45624
067041,13,Teramo,53819
070006,14,Campobasso,49028
047014,9,Pistoia,90677
051002,9,Arezzo,99258
041044,11,Pesaro,95203
048017,9,Firenze,372038
044007,11,Ascoli Piceno,47555
042002,11,Ancona,100282
063049,15,Napoli,962589
066049,13,L'Aquila,69710
064008,15,Avellino,53640
079023,18,Catanzaro,88313
080063,18,Reggio di Calabria,178760
082053,19,Palermo,657960
084001,19,Agrigento,58273
065116,15,Salerno,132702
061022,15,Caserta,74450
075035,16,Lecce,96534
076063,17,Potenza,66459
078045,18,Cosenza,66457
087015,19,Catania,311402
088009,19,Ragusa,73409
099014,8,Rimini,151200
096004,1,Biella,43812
091051,20,Nuoro,35763
094023,14,Isernia,21585
077014,17,Matera,60411
081021,19,Trapani,67141
086009,19,Enna,26658
083048,19,Messina,229565
093033,6,Pordenone,51714
098031,3,Lodi,46050
110001,16,Andria,99307
110002,16,Barletta,94316
102047,18,Vibo Valentia,32769
110009,16,Trani,56011
111009,20,Carbonia,27611
100005,9,Prato,194913
101010,18,Crotone,62449
103072,1,Verbania,30391
108033,3,Monza,124051
109006,11,Fermo,36988
089017,19,Siracusa,120405
090064,20,Sassari,126218
092009,20,Cagliari,153231
097042,3,Lecco,48173
095038,20,Oristano,31469
